Episodio,Entidade1,Relação,Entidade2
S2_a_man_without_honor,Theon,berates,Lorren
S2_a_man_without_honor,Tywin,later suspects that,Arya
S2_a_man_without_honor,Ygritte,says that,Jon
S2_blackwater,Bronn,has been awaiting,Tyrion
S2_blackwater,Cersei,has taken,Tommen
S2_blackwater,Hound,scares,Sansa
S2_blackwater,Joffrey,berates,Tyrion
S2_blackwater,Podrick Payne,kills,Ser Mandon
S2_blackwater,Shae,tells,Sansa
S2_garden_of_bones,Bronn,to kill,Meryn
S2_garden_of_bones,Catelyn,insists that,Robb
S2_garden_of_bones,Catelyn,reminds,Stannis
S2_garden_of_bones,Catelyn,tells,Petyr
S2_garden_of_bones,Cersei,to release,Grand Maester Pycelle
S2_garden_of_bones,Gendry,arrive at,Harrenhal
S2_garden_of_bones,Hot Pie,are taken by,Ser Amory Lorch
S2_garden_of_bones,Joffrey,sadistically menaces,Sansa
S2_garden_of_bones,Khalasar,are let into,Qarth
S2_garden_of_bones,Lancel Lannister,tells,Sansa
S2_garden_of_bones,Lancel,clearly holds,Tyrion
S2_garden_of_bones,Lancel,nervously says,Cersei
S2_garden_of_bones,Lannisters,having,Arya
S2_garden_of_bones,Ned Stark,rejected,Renly
S2_garden_of_bones,Ros,to beat,Daisy
S2_garden_of_bones,Sansa,refuses to give,Joffrey
S2_garden_of_bones,Ser Davos,rows,Melisandre
S2_garden_of_bones,Ser Meryn,punches,Sansa
S2_garden_of_bones,Stannis Baratheon,then arrives at,Renly
S2_garden_of_bones,Stannis,despises,Littlefinger
S2_garden_of_bones,Stannis,has come to treat with,Renly
S2_garden_of_bones,Tyrion,gently instructs,Lancel
S2_garden_of_bones,Tyrion,sarcastically asks if,Cersei
S2_garden_of_bones,Tywin,instantly notices that,Arry
S2_the_ghost_of_harrenhal,Jon Snow,joins,Qhorin
S2_the_ghost_of_harrenhal,Ser Davos Seaworth,challenges,King Stannis
S2_the_ghost_of_harrenhal,Theon,plans to raid,Torrhen 's Square
S2_the_ghost_of_harrenhal,Tyrion,learns that,Cersei
S2_the_ghost_of_harrenhal,Tyrion,predicts,Stannis
S2_the_night_lands,Arya,asks,Gendry
S2_the_night_lands,Arya,confides in,Gendry
S2_the_night_lands,Robb Stark,sends,Theon Greyjoy
S2_the_night_lands,Stannis,uses,Ser Davos
S2_the_night_lands,Varys,discovers,Shae
S2_the_north_remembers,Barra,is killed in,Petyr
S2_the_north_remembers,Cersei,is surprised to see,Tyrion
S2_the_north_remembers,Craster,tells,Jeor
S2_the_north_remembers,Cressen,asks,Davos Seaworth
S2_the_north_remembers,Jeor,reprimands,Jon
S2_the_north_remembers,Melisandre,is leading,Stannis
S2_the_north_remembers,Melisandre,proclaims,Stannis
S2_the_north_remembers,Mormont,asks,Jon
S2_the_north_remembers,Night 's Watch,approaches,Crasters Keep
S2_the_north_remembers,Robb,to consider exchanging,Jaime
S2_the_north_remembers,Samwell Tarly,are repulsed by,Craster
S2_the_north_remembers,Sansa Stark,intercedes telling,Joffrey
S2_the_north_remembers,Stannis,has received,Ned Stark
S2_the_north_remembers,Stannis,sees as,Robb
S2_the_old_gods_and_the_new,Amory Lorch,reaches,Tywin
S2_the_old_gods_and_the_new,Arya,runs to find,Jaqen H'ghar
S2_the_old_gods_and_the_new,Dagmer Cleftjaw,insists that,Theon
S2_the_old_gods_and_the_new,Night 's Watch,led by,Qhorin Halfhand
S2_the_old_gods_and_the_new,Qhorin,gives,Jon
S2_the_old_gods_and_the_new,Robb,chats with,Talisa
S2_the_old_gods_and_the_new,Ser Rodrik Cassel,is captured by,Theon
S2_the_old_gods_and_the_new,Theon,tells,Bran Stark
S2_the_old_gods_and_the_new,Tywin Lannister,berates,Ser Amory Lorch
S2_the_prince_of_winterfell,Arya,gives,Jaqen
S2_the_prince_of_winterfell,Catelyn,has sent,Brienne of Tarth
S2_the_prince_of_winterfell,Dagmer,tells,Theon
S2_the_prince_of_winterfell,Robb,plans to relieve,Winterfell
S2_the_prince_of_winterfell,Ser Jorah Mormont,advises,Daenerys Targaryen
S2_the_prince_of_winterfell,Stannis,tells,Davos
S2_the_prince_of_winterfell,Theon,gives,Dagmer
S2_the_prince_of_winterfell,Yara Greyjoy,arrives at,Winterfell
S2_the_prince_of_winterfell,Ygritte,brings,Jon Snow
S2_valar_morghulis,Catelyn,urges,Robb
S2_valar_morghulis,Daenerys Targaryen,arrives at,House of the Undying
S2_valar_morghulis,Dothraki,seize,Xaro
S2_valar_morghulis,Jaime,recognized by,Stark
S2_valar_morghulis,Jon,mortally wounds,Qhorin
S2_valar_morghulis,Littlefinger,is awarded,Harrenhal
S2_valar_morghulis,Loras Tyrell,asks that,Joffrey
S2_valar_morghulis,Luwin,suggests that,Theon
S2_valar_morghulis,Maester Luwin,tells,Theon
S2_valar_morghulis,Melisandre,tells,Stannis
S2_valar_morghulis,Shae,urges,Tyrion
S2_valar_morghulis,Ygritte,gives,Jon
S2_what_is_dead_may_never_die,Arya,is incapacitated by,Polliver
S2_what_is_dead_may_never_die,Arya,rescues,Jaqen H'ghar
S2_what_is_dead_may_never_die,Catelyn,is impressed with,Brienne
S2_what_is_dead_may_never_die,Jon,realizes that,Jeor
S2_what_is_dead_may_never_die,Lommy,begs,Polliver
S2_what_is_dead_may_never_die,Lommy,was,Gendry
S2_what_is_dead_may_never_die,Margaery,fails to seduce,Renly
S2_what_is_dead_may_never_die,Mormont,considers,Craster
S2_what_is_dead_may_never_die,Samwell Tarly,gives,Gilly
S3_and_now_his_watch_is_ended,Daenerys Targaryen,arrives before,Kraznys
S3_and_now_his_watch_is_ended,Daenerys,turns to face,Kraznys
S3_and_now_his_watch_is_ended,Joffrey,gives,Margaery
S3_and_now_his_watch_is_ended,Jojen,advises,Bran
S3_and_now_his_watch_is_ended,Karl,holds off,Craster
S3_and_now_his_watch_is_ended,Kraznys,complains for,Missandei
S3_and_now_his_watch_is_ended,Kraznys,tells,Daenerys
S3_and_now_his_watch_is_ended,Littlefinger,has visited,Sansa Stark
S3_and_now_his_watch_is_ended,Locke,has been tormenting,Jaime
S3_and_now_his_watch_is_ended,Lord Mace Tyrell,besieged,Storm
S3_and_now_his_watch_is_ended,Margaery Tyrell,finds,Sansa Stark
S3_and_now_his_watch_is_ended,Margaery,convinces,Joffrey
S3_and_now_his_watch_is_ended,Margaery,then invites,Sansa
S3_and_now_his_watch_is_ended,Mormont,grabs,Rast
S3_and_now_his_watch_is_ended,Mormont,restrains,Rast
S3_and_now_his_watch_is_ended,Olenna,asks if,Robert Baratheon
S3_and_now_his_watch_is_ended,Olenna,discuss,Sansa
S3_and_now_his_watch_is_ended,Rast,calls,Craster
S3_and_now_his_watch_is_ended,Robb Stark,is that,Robb
S3_and_now_his_watch_is_ended,Sam,runs out of,Craster
S3_and_now_his_watch_is_ended,Sansa,is,Robb
S3_and_now_his_watch_is_ended,Sansa,were to marry,Loras
S3_and_now_his_watch_is_ended,Tyrell,makes,Sansa
S3_and_now_his_watch_is_ended,Varys,arrives to meet with,Olenna
S3_and_now_his_watch_is_ended,Varys,is surprised that,Ros
S3_and_now_his_watch_is_ended,Varys,realizes,Littlefinger
S3_and_now_his_watch_is_ended,Varys,thus urges,Tyrion
S3_dark_wings_dark_words,Baelish,has offered to help,Sansa
S3_dark_wings_dark_words,Bran,says that,Howland
S3_dark_wings_dark_words,Brienne,gives,Jaime
S3_dark_wings_dark_words,Catelyn,really hated was,Jon
S3_dark_wings_dark_words,Cersei,begins to criticize,Margaery
S3_dark_wings_dark_words,Eddard,to have,Jon
S3_dark_wings_dark_words,Gendry,loudly criticizes,Arya
S3_dark_wings_dark_words,Jaime Lannister,provokes,Brienne
S3_dark_wings_dark_words,Jaime,deduces that,Brienne
S3_dark_wings_dark_words,Jaime,tells,Brienne
S3_dark_wings_dark_words,Jojen,explains that,Bran
S3_dark_wings_dark_words,Jojen,says that,Howland
S3_dark_wings_dark_words,Karstark,maintains that unless,Edmure
S3_dark_wings_dark_words,Mance,brings,Jon
S3_dark_wings_dark_words,Mormont,assigns,Rast
S3_dark_wings_dark_words,Mormont,tells,Sam
S3_dark_wings_dark_words,Olenna,continues to prod,Sansa
S3_dark_wings_dark_words,Olenna,insists that,Sansa
S3_dark_wings_dark_words,Rast,is annoyed that,Sam
S3_dark_wings_dark_words,Rast,to keep,Sam
S3_dark_wings_dark_words,Robb,asks if,Karstark
S3_dark_wings_dark_words,Robb,leaves,Roose
S3_dark_wings_dark_words,Sam,is upset that,Grenn
S3_dark_wings_dark_words,Sansa,reminds,Loras
S3_dark_wings_dark_words,Shae,asks,Tyrion Lannister
S3_dark_wings_dark_words,Shae,continues to warn,Sansa
S3_dark_wings_dark_words,Shae,dresses,Sansa Stark
S3_dark_wings_dark_words,Shae,sneaks into,Tyrion Lannister
S3_dark_wings_dark_words,Shae,starts undressing,Tyrion
S3_dark_wings_dark_words,Shae,suggests that,Baelish
S3_dark_wings_dark_words,Ygritte,is surprised that,Jon
S3_kissed_by_fire,Arya,earnestly asks,Thoros
S3_kissed_by_fire,Barristan,admits that,Robert
S3_kissed_by_fire,Barristan,knew that,Jorah
S3_kissed_by_fire,Beric,even manages to set,Sandor
S3_kissed_by_fire,Bolton,calls for,Qyburn
S3_kissed_by_fire,Bolton,toys with,Jaime
S3_kissed_by_fire,Brienne,is in,Harrenhal
S3_kissed_by_fire,Brynden Tully,punches,Karstark
S3_kissed_by_fire,Catelyn,set,Jaime
S3_kissed_by_fire,Jaime,finished,Aerys
S3_kissed_by_fire,Jaime,recalls,Aerys
S3_kissed_by_fire,Joffrey,has made,Sansa
S3_kissed_by_fire,Jorah,is relieved that,Barristan
S3_kissed_by_fire,Jorah,says that,Barristan
S3_kissed_by_fire,Jorah,was defending,Daenerys
S3_kissed_by_fire,Karstarks,are,kin
S3_kissed_by_fire,Karstarks,have cost,Robb Stark
S3_kissed_by_fire,Littlefinger,meets with,Sansa
S3_kissed_by_fire,Locke,boasts that,Jaime
S3_kissed_by_fire,Locke,taunting,Jaime
S3_kissed_by_fire,Lord Rickard,says that,Robb
S3_kissed_by_fire,Lord of Light,to judge,Sandor
S3_kissed_by_fire,Mad King,ordered,Jaime
S3_kissed_by_fire,Queen Regent Cersei Lannister,encounters,Petyr Littlefinger Baelish
S3_kissed_by_fire,Robb,decides that if,King 's Landing
S3_kissed_by_fire,Robb,executes,Rickard
S3_kissed_by_fire,Robb,says,Tywin Lannister
S3_kissed_by_fire,Roose,is surprised that,Jaime
S3_kissed_by_fire,Sandor Clegane,prepares to fight,Beric Dondarrion
S3_kissed_by_fire,Ser Jorah Mormont,tells,Ser Barristan Selmy
S3_kissed_by_fire,Targaryens,built,Dragonstone
S3_kissed_by_fire,Theon Greyjoy,murdered,Robb
S3_kissed_by_fire,Thoros,reviving,Beric
S3_kissed_by_fire,Tormund,tells,Jon
S3_kissed_by_fire,Tormund,warns,Jon
S3_kissed_by_fire,Tyrells,are plotting to wed,Sansa
S3_kissed_by_fire,Tyrion,plans to mistreat,Sansa
S3_kissed_by_fire,Ygritte,tells,Jon
S3_mhysa,Bran,asks,Sam
S3_mhysa,Gilly,meet with,Maester Aemon
S3_mhysa,Jaime,immediately calls on,Cersei
S3_mhysa,Joffrey,challenges,Tywin
S3_mhysa,Jon,tries to talk,Ygritte
S3_mhysa,Meera Reed,tells,Bran
S3_mhysa,Ramsay Snow,offered,Robb Stark
S3_mhysa,Sam,quickly deduces,Bran
S3_mhysa,Sansa,is,Joffrey
S3_mhysa,Small Council,tenses waiting for,Tywin
S3_mhysa,Stannis,is convinced by,Melisandre
S3_mhysa,Stannis,sarcastically laughs at,R'hllor
S3_mhysa,Tyrion,reminds,Sansa
S3_mhysa,Tywin,also asks,Pycelle
S3_mhysa,Varys,is convinced that,Tyrion
S3_mhysa,Varys,meets with,Shae
S3_second_sons_(episode),Daenerys,tells,Barristan
S3_second_sons_(episode),Joffrey,smugly escorts,Sansa
S3_second_sons_(episode),Melisandre,seduces,Gendry
S3_second_sons_(episode),Mero,refuse,Daenerys
S3_second_sons_(episode),Sam,suggests that,Gilly
S3_second_sons_(episode),Tyrion,speaks with,Sansa
S3_the_bear_and_the_maiden_fair_(episode),Brienne,tells,Jaime
S3_the_bear_and_the_maiden_fair_(episode),Castle Black,to await,Mance Rayder's
S3_the_bear_and_the_maiden_fair_(episode),Daenerys,leave,Yunkai
S3_the_bear_and_the_maiden_fair_(episode),Daenerys,tells,Jorah
S3_the_bear_and_the_maiden_fair_(episode),Gendry,leaves,King 's Landing
S3_the_bear_and_the_maiden_fair_(episode),Jaime,asks that,Bolton
S3_the_bear_and_the_maiden_fair_(episode),Jaime,leaves,Harrenhal
S3_the_bear_and_the_maiden_fair_(episode),Jaime,then asks about,Brienne
S3_the_bear_and_the_maiden_fair_(episode),Jon,also tries to persuade,Ygritte
S3_the_bear_and_the_maiden_fair_(episode),Locke,is convinced,Lord Selwyn
S3_the_bear_and_the_maiden_fair_(episode),Margaery Tyrell,consoles,Sansa
S3_the_bear_and_the_maiden_fair_(episode),Orell,tells,Jon
S3_the_bear_and_the_maiden_fair_(episode),Qyburn,checks,Jaime
S3_the_bear_and_the_maiden_fair_(episode),Razdal,declares that,Yunkai
S3_the_bear_and_the_maiden_fair_(episode),Tywin,is surprised that,Joffrey
S3_the_bear_and_the_maiden_fair_(episode),Tywin,reminds,Joffrey
S3_the_climb,Anguy,teaching,Arya
S3_the_climb,Anguy,trains,Arya Stark
S3_the_climb,Bolton,discuss,Jaime
S3_the_climb,Bolton,tells,Jaime
S3_the_climb,Edmure Tully,to marry,Roslin
S3_the_climb,Freys,carry,Walder Frey
S3_the_climb,Jaime,assumes that,Brienne
S3_the_climb,Joffrey,coldly contemplates,Ros
S3_the_climb,Jojen,then tells,Bran
S3_the_climb,Lady Olenna Tyrell,to discuss having,Ser Loras
S3_the_climb,Lord Roose Bolton,has dinner with,Jaime
S3_the_climb,Lord Varys,finds,Lord Petyr Baelish
S3_the_climb,Orell,decides that,Tormund
S3_the_climb,Sam,shows,Gilly
S3_the_climb,Sansa,declines to dismiss,Shae
S3_the_climb,Sansa,weeps as,Baelish
S3_the_rains_of_castamere_(episode),Arya,gives,Sandor
S3_the_rains_of_castamere_(episode),Bran,asks,Osha
S3_the_rains_of_castamere_(episode),Catelyn,kills,Walder Frey
S3_the_rains_of_castamere_(episode),Catelyn,slaps,Roose
S3_the_rains_of_castamere_(episode),Gilly,is amazed that,Sam
S3_the_rains_of_castamere_(episode),House Frey,joins with,House Tully
S3_the_rains_of_castamere_(episode),Jon,battles with,Orell
S3_the_rains_of_castamere_(episode),Osha,promises to look after,Rickon
S3_the_rains_of_castamere_(episode),Talisa,is stabbed by,Lame Lothar
S3_the_rains_of_castamere_(episode),Tormund,restrains,Ygritte
S3_valar_dohaeris,Cersei,admonishes,Margaery
S3_valar_dohaeris,Davos,feels that,Melisandre
S3_valar_dohaeris,Davos,openly calls,Melisandre
S3_valar_dohaeris,Davos,tries to kill,Melisandre
S3_valar_dohaeris,Joffrey,naively defends,Margaery
S3_valar_dohaeris,Jon Snow,is led by,Ygritte
S3_valar_dohaeris,Jon,is brought before,Mance Rayder
S3_valar_dohaeris,Jon,killed,Qhorin
S3_valar_dohaeris,Jon,killed,Qhorin Halfhand
S3_valar_dohaeris,Littlefinger,offers,Sansa
S3_valar_dohaeris,Night 's Watch,camped at,Craster 's Keep
S3_valar_dohaeris,Petyr Baelish,arrives to speak with,Sansa
S3_valar_dohaeris,Ser Jorah,urges that,Daenerys
S3_valar_dohaeris,Tywin,is shocked as if,Tyrion
S3_walk_of_punishment,Barristan,says that,Rhaegar
S3_walk_of_punishment,Bronn,ask,Pod
S3_walk_of_punishment,Bronn,then lead,Pod
S3_walk_of_punishment,Daenerys,speaks with,Kraznys
S3_walk_of_punishment,Daenerys,speaks with,Missandei
S3_walk_of_punishment,Edmure,confer in,Riverrun
S3_walk_of_punishment,Gilly,wordlessly realize that,Craster
S3_walk_of_punishment,Jaime,tries to smooth-talk,Locke
S3_walk_of_punishment,Jaime,warns,Brienne
S3_walk_of_punishment,Jorah,responds that,Rhaegar
S3_walk_of_punishment,King Stannis Baratheon,speaks with,Melisandre
S3_walk_of_punishment,Locke,says that,Jaime
S3_walk_of_punishment,Mance,says that with,Mormont
S3_walk_of_punishment,Mance,warns,Jon
S3_walk_of_punishment,Rickon,similarly watched at,Winterfell
S3_walk_of_punishment,Robert Baratheon,killed,Rhaegar
S3_walk_of_punishment,Tywin,says that,Roose
S3_walk_of_punishment,Wall,to attack,Castle Black
S4_breaker_of_chains,Dornish,successfully resisted,Aegon Targaryen
S4_breaker_of_chains,Jaime,enters to see,Cersei
S4_breaker_of_chains,Mance,reaches,Craster 's Keep
S4_breaker_of_chains,Oberyn,had helped,Tyrion
S4_breaker_of_chains,Olyvar,to discuss,Tyrion
S4_breaker_of_chains,Pod,to get out of,King 's Landing
S4_breaker_of_chains,Sansa,escaping with,Ser Dontos Hollard
S4_first_of_his_name,Bran,wargs into,Hodor
S4_first_of_his_name,Brienne,believes,Sansa
S4_first_of_his_name,Brienne,then asks if,Podrick
S4_first_of_his_name,Cersei,asks,Oberyn
S4_first_of_his_name,Clegane,disparages,Arya
S4_first_of_his_name,Daario Naharis,has captured,Meereen
S4_first_of_his_name,Daenerys,learns that,Joffrey
S4_first_of_his_name,Jon,has,Craster 's Keep
S4_first_of_his_name,Lysa,encourages,Sansa
S4_first_of_his_name,Petyr,has,Sansa
S4_first_of_his_name,Robin Arryn,is delighted to see,Petyr
S4_mockingbird,Brienne,is surprised because,Arya
S4_mockingbird,Bronn,visits,Tyrion
S4_mockingbird,Cersei,showed,Tyrion
S4_mockingbird,Cersei,told,Oberyn
S4_mockingbird,Daario,bumps into,Ser Jorah
S4_mockingbird,Daario,entreats,Dany
S4_mockingbird,Daario,visits,Daenerys
S4_mockingbird,Daenerys,is surprised by,Daario
S4_mockingbird,Daenerys,tells,Jorah
S4_mockingbird,Dany,focuses on,Daario
S4_mockingbird,First Builder,reluctantly agrees with,Thorne
S4_mockingbird,Jaime,declines to be,Tyrion
S4_mockingbird,Jaime,were to die being,Tyrion
S4_mockingbird,Jorah,to assign,Hizdahr zo Loraq
S4_mockingbird,Lysa,releases,Sansa
S4_mockingbird,Lysa,then grabs,Sansa
S4_mockingbird,Podrick,reminds,Brienne
S4_mockingbird,Podrick,surmises that,Arya
S4_mockingbird,Sandor,is ambushed by,Biter
S4_mockingbird,Sansa,is summoned by,Lysa
